Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
12.359697667,1,1,0,0,0,1,1,1
12.359697708,1,0,0,0,0,1,1,1
12.359698208,1,1,0,1,0,1,1,1
12.359698250,1,1,1,1,1,1,1,1
12.359700042,1,1,0,0,0,1,1,1
12.359700083,1,0,0,0,0,1,1,1
12.359700833,1,1,0,0,0,1,1,1
12.359700875,1,1,1,1,1,1,1,1
12.359702500,1,1,0,1,1,1,1,1
12.359702542,1,0,0,0,0,1,1,1
12.359703333,1,1,0,1,1,1,1,1
12.359703417,1,1,1,1,1,1,1,1
12.359704917,1,1,0,1,0,1,1,1
12.359704958,1,0,0,0,0,1,1,1
12.359706000,1,1,0,0,0,1,1,1
12.359706042,1,1,0,1,1,1,1,1
12.359706083,1,1,1,1,1,1,1,1
12.359716208,1,1,0,1,1,1,1,1
12.359716250,1,1,0,1,0,1,1,1
12.359716333,1,0,0,0,0,1,1,1
12.359716958,1,1,0,0,0,1,1,1
12.359717000,1,1,1,1,1,1,1,1
12.359739875,1,1,0,1,1,1,1,1
12.359739917,1,0,0,0,0,1,1,1
12.359740750,1,1,0,1,0,1,1,1
12.359740792,1,1,1,1,1,1,1,1
12.359763708,1,1,0,1,1,1,1,1
12.359763750,1,0,0,0,0,1,1,1
12.359764125,1,1,0,1,1,1,1,1
12.359764167,1,1,1,1,1,1,1,1
12.359771333,1,1,0,1,1,1,1,1
12.359771375,1,1,0,1,0,1,1,1
12.359771500,1,1,1,1,1,1,1,1
12.359792542,1,1,0,1,1,1,1,1
12.359792708,1,1,1,1,1,1,1,1
12.359903167,1,1,0,1,1,1,1,1
12.359903208,1,1,0,0,0,1,1,1
12.359903250,1,0,0,0,0,1,1,1
12.359903792,1,1,0,1,1,1,1,1
12.359903833,1,1,1,1,1,1,1,1
12.359905583,1,1,0,1,1,1,1,1
12.359905625,1,1,0,0,0,1,1,1
12.359905667,1,0,0,0,0,1,1,1
12.359906417,1,1,0,1,1,1,1,1
12.359906458,1,1,1,1,1,1,1,1
12.359908083,1,1,0,1,1,1,1,1
12.359908125,1,1,0,0,0,1,1,1
12.359908167,1,0,0,0,0,1,1,1
12.359908875,1,1,0,1,1,1,1,1
12.359908917,1,1,1,1,1,1,1,1
12.359910542,1,1,0,0,0,1,1,1
12.359910583,1,0,0,0,0,1,1,1
12.359911333,1,1,0,1,1,1,1,1
12.359911458,1,1,1,1,1,1,1,1
12.359913000,1,1,0,1,1,1,1,1
12.359913042,1,1,0,0,0,1,1,1
12.359913083,1,0,0,0,0,1,1,1
12.359914042,1,1,0,0,0,1,1,1
12.359914083,1,1,0,1,1,1,1,1
12.359914125,1,1,1,1,1,1,1,1
12.359915375,1,1,0,1,1,1,1,1
12.359915417,1,1,0,0,0,1,1,1
12.359915500,1,0,0,0,0,1,1,1
12.359916625,1,1,0,0,0,1,1,1
12.359916667,1,1,0,1,0,1,1,1
12.359916708,1,1,1,1,1,1,1,1
12.359917792,1,1,0,1,1,1,1,1
12.359917833,1,1,0,0,0,1,1,1
12.359917875,1,0,0,0,0,1,1,1
12.359919250,1,1,0,1,0,1,1,1
12.359919292,1,1,0,1,1,1,1,1
12.359919333,1,1,1,1,1,1,1,1
12.359960667,1,1,0,1,1,1,1,1
12.359960750,1,0,0,0,0,1,1,1
12.359960917,1,1,1,1,1,1,1,1
12.359962875,1,1,0,1,1,1,1,1
12.359962917,1,0,0,0,0,1,1,1
12.359963833,1,1,1,1,1,1,1,1
12.359976958,1,1,0,1,1,1,1,1
12.359977083,1,1,1,1,1,1,1,1
12.359979125,1,1,0,1,1,1,1,1
12.359979167,1,0,0,0,0,1,1,1
12.359979917,1,1,0,1,0,1,1,1
12.359979958,1,1,1,1,1,1,1,1
12.359981583,1,1,0,1,1,1,1,1
12.359981625,1,1,0,0,0,1,1,1
12.359981667,1,0,0,0,0,1,1,1
12.359982417,1,1,0,1,1,1,1,1
12.359982458,1,1,1,1,1,1,1,1
12.360000125,1,1,0,1,1,1,1,1
12.360000167,1,0,0,0,0,1,1,1
12.360000750,1,1,0,0,0,1,1,1
12.360000792,1,1,0,1,1,1,1,1
12.360000833,1,1,1,1,1,1,1,1
12.360005292,1,0,0,1,0,1,1,1
12.360005333,1,0,0,0,0,1,1,1
12.360005542,1,0,0,1,0,1,1,1
12.360005583,1,1,1,1,1,1,1,1
12.360010333,1,1,0,1,1,1,1,1
12.360010500,1,1,1,1,1,1,1,1
12.360017125,1,1,1,1,1,0,1,1
12.360017167,1,1,0,1,1,0,1,1
12.360017208,1,0,0,0,1,0,1,1
12.361039542,1,1,0,0,1,0,1,1
12.361039875,1,1,0,1,1,0,1,1
12.361039917,1,1,1,1,1,1,1,1
12.361041792,1,1,0,1,0,1,1,1
12.361041833,1,0,0,0,0,1,1,1
12.361042958,1,1,0,0,0,1,1,1
12.361043000,1,1,1,1,1,1,1,1
12.361044167,1,1,0,1,1,1,1,1
12.361044208,1,1,0,0,0,1,1,1
12.361044292,1,0,0,0,0,1,1,1
12.361045500,1,1,0,1,1,1,1,1
12.361045542,1,1,1,1,1,1,1,1
12.361049625,1,1,0,1,0,1,1,1
12.361049667,1,0,0,0,0,1,1,1
12.361049958,1,0,0,1,0,1,1,1
12.361050000,1,1,1,1,1,1,1,1
12.361054625,1,1,0,1,1,1,1,1
12.361054708,1,1,0,1,0,1,1,1
12.361054833,1,1,1,1,1,1,1,1
12.361056833,1,1,0,1,0,1,1,1
12.361056917,1,1,0,0,0,1,1,1
12.361056958,1,0,0,0,0,1,1,1
12.361057625,1,1,0,1,1,1,1,1
12.361057667,1,1,1,1,1,1,1,1
12.361081417,1,1,0,1,0,1,1,1
12.361081458,1,0,0,0,0,1,1,1
12.361081917,1,1,0,1,0,1,1,1
12.361081958,1,1,1,1,1,1,1,1
12.361083792,1,1,0,1,1,1,1,1
12.361083833,1,1,0,1,0,1,1,1
12.361083875,1,0,0,0,0,1,1,1
12.361084250,1,1,1,1,1,1,1,1
12.361101583,1,1,0,1,1,1,1,1
12.361101625,1,0,0,0,0,1,1,1
12.361102500,1,1,1,1,1,1,1,1
12.361104208,1,1,0,1,1,1,1,1
12.361104250,1,1,0,0,0,1,1,1
12.361104292,1,0,0,0,0,1,1,1
12.361105417,1,1,0,1,0,1,1,1
12.361105458,1,1,1,1,1,1,1,1
12.361106875,1,1,0,1,1,1,1,1
12.361106917,1,1,0,0,0,1,1,1
12.361106958,1,0,0,0,0,1,1,1
12.361107667,1,1,1,1,1,1,1,1
12.361110875,1,1,0,1,1,0,1,1
12.361111000,1,0,0,0,1,0,1,1
12.363155542,1,1,0,0,1,0,1,1
12.363155833,1,1,0,1,1,0,1,1
12.363155875,1,1,1,1,1,1,1,1
12.363157833,1,1,0,1,1,1,1,1
12.363157875,1,1,0,1,0,1,1,1
12.363157917,1,0,0,0,0,1,1,1
12.363158833,1,1,0,1,1,1,1,1
12.363158875,1,1,1,1,1,1,1,1
12.363160250,1,1,0,1,0,1,1,1
12.363160292,1,1,0,0,0,1,1,1
12.363160333,1,0,0,0,0,1,1,1
12.363161375,1,1,0,0,0,1,1,1
12.363161417,1,1,1,1,1,1,1,1
12.363162667,1,1,0,1,1,1,1,1
12.363162708,1,1,0,0,0,1,1,1
12.363162750,1,0,0,0,0,1,1,1
12.363164042,1,1,0,0,0,1,1,1
12.363164083,1,1,0,1,1,1,1,1
